source,field,page,ocr_confidence,alias_score,matched_alias,numbers,evidence_text,bbox
ocr,current_assets,4,84.25,0.667,مجموع الأصول المتداولة,1,المتداولة غير الأصول 1,"1682,832,457,57"
ocr,current_liabilities,4,57.83,0.667,مجموع الالتزامات المتداولة,41 | 1,"Pha‏ |__ المتداولة غير الأعبول مجموع | -:04,1\ 4A, X44‏ المستأجرة المتداولة غير الاصول صافي Wr‏ | أسما | 1","654,1108,1323,105"
ocr,current_assets,4,47.62,0.667,مجموع الأصول المتداولة,1,a | os ee i‏ المتداولة الأصول ١‏,"277,1423,1869,71"
ocr,ar,4,50.17,0.667,صافي الذمم المدينة,4 | 4 | 72 | 2215,"| خيافة المديئة الذمم صافي : | tAV+4 (oV,)‏ )4+ تحصيلها في المشكوك الديون ينزل 72> | للبيع معروضة متداولة غير أصول 2215","659,1792,1741,78"
ocr,current_assets,4,53.67,0.667,مجموع الأصول المتداولة,2020,المتدلولة الأصول مجموع | المتداولة الأصول 2020,"1634,2101,343,77"
ocr,current_assets,4,77.67,0.667,مجموع الأصول المتداولة,2020,المتداولة الأصول 2020,"1727,2162,375,82"
ocr,current_assets,4,50.5,0.667,مجموع الأصول المتداولة,0 | 174,"؛,؟ لا“ارة! £,Y£0,‏ 174 الأصول مجموع","413,2540,1570,53"
ocr,current_liabilities,5,81.75,0.667,مجموع الالتزامات المتداولة,1,المتداولة غير الالتزامات 1,"1567,741,573,63"
ocr,interest_bearing_debt,5,65.17,0.75,التزامات تمويل عقود الايجار,91,"91,VEA‏ الايجار عقود تموبل التزامات ri‏","845,810,1301,62"
ocr,current_liabilities,5,63.43,1.0,مجموع الالتزامات المتداولة,1,لاا ار 1 المتداولة غير الالتزامات مجموع,"367,959,1538,69"
ocr,current_liabilities,5,58.6,0.667,مجموع الالتزامات المتداولة,2,2 ا المتداولة الالتزامات Yr‏,"251,1030,1897,64"
ocr,ap,5,39.14,1.0,الذمم الدائنة,14 | 10,",14«,\ 10A Ww. YT)‏ الدائنة الذمم نهنا","378,1114,1767,67"
ocr,current_liabilities,5,66.6,1.0,مجموع الالتزامات المتداولة,49490,"سس 494,90 المتداولة الالتزامات مجموع","377,1268,1528,67"
ocr,current_liabilities,5,51.17,0.667,مجموع الالتزامات المتداولة,9,"\¥,-¥r V+ +,VET‏ الأخرى الالتزامات مجموع | التخصيصات Yo 9‏","403,1576,1506,66"
ocr,current_liabilities,5,73.67,0.667,مجموع الالتزامات المتداولة,1,01 4ك الملكية وحقوق الالتزامات مجموع,"411,2185,1492,73"
ocr,cogs,6,82.0,0.667,كلفة النشاط التجاري,3,الخدي النشاط كلفة 3,"1574,1090,498,47"
ocr,cogs,6,59.88,1.0,كلفة النشاط التجاري,-0,"(االاراة١)‏ (\V-,-00)‏ ((اعرك4) والخدي التجاري النشاط كلفة coGs‏","248,1152,1825,55"
ocr,revenue,6,54.83,0.667,ايراد النشاط الجاري,0 | 944,"OvY,+¥¥ OA4,Y)0 YA,944‏ النشاط ايراد اجمالي","263,1315,1585,66"
ocr,cogs,6,50.71,0.667,كلفة النشاط التجاري,1 | 4 | 4 | 4,"1-0,4¥¢ VY)‏ ,04 4¥- التجاري النشاط فائض","268,1893,1582,62"
ocr,cash,8,58.08,1.0,النقد,1 | 0 | 71 | 1,"الموحد النقدية التدفقات بيان ‘ | Ys ١‏ إحزيران/"" ٠‏ ‘ لغاية و 7١""‏ إنيسان/ ١‏ من للفترة","973,347,1354,81"
ocr,cash,8,68.0,1.0,النقد,14,"التشغيلية الانشطة من النقدية التدفقات | OY, AAA ot, 14Y‏ المرفق ب بيان بموجب النشاط فائض","1507,887,531,59"
ocr,cash,8,68.0,1.0,النقد,14 | 21 | 0,"؛ النقدية غير المصاريف تضاف | OY, AAA ot, 14Y‏ المرفق ب بيان بموجب النشاط فائض | 21/0 ا المؤجلة الإيرادية النفقات واطفاء الموجودات اندثار","1570,1005,407,58"
ocr,cash,8,73.29,1.0,النقد,0,0 _ الاحتباطيات / النقدية غير التسودات,"455,1183,1560,58"
ocr,capex,8,73.86,0.75,زيادة في الموجودات الثابتة,4 | 1 | 1,"بس (\EV,A+¥)‏ البيع برسم الموجودات في انخفاض / زيادة | )4&¥,+\( (¥1,)¥o)‏ المخزون في انخفاض / زيادة | \,-0V V£1,-YE‏ المدينة والارصدة المدينين في زبادة","479,1477,1577,64"
ocr,cash,8,66.44,1.0,النقد,4 | 4,"الا ()A1,4-4)‏ التشغيلية الانشطة من الناتج النقد صافي :","468,1662,1895,67"
ocr,cash,8,73.57,1.0,النقد,14,(ثثلارة؟) ١4‏ الاستثمارية الانشطة من الناتج النقد,"418,2147,1598,70"
ocr,cash,8,73.57,1.0,النقد,14,: التموبلية الانشطة من النقدية التدففات | (ثثلارة؟) ١4‏ الاستثمارية الانشطة من الناتج النقد,"1515,2230,537,60"
ocr,interest_bearing_debt,8,60.67,0.667,القروض طويلة الاجل,1,"انا ٠و6‏ الإجل طويلة القروض في انخفاض زبادة/ | )¥-1,£¥( (0A, YYV)‏ الإجل قصيرة القروض في /الزنادة انخفاض","421,2297,1620,60"
ocr,interest_bearing_debt,8,60.67,0.667,القروض قصيرة الاجل,1,")¥-1,£¥( (0A, YYV)‏ الإجل قصيرة القروض في /الزنادة انخفاض","420,2343,1638,72"
ocr,interest_expense,8,51.25,1.0,فوائد مدينة,9,"(v¥,<v¥) (Y¥,09A)‏ مدينة فوائد","421,2410,1439,67"
ocr,interest_bearing_debt,8,72.67,0.75,التزامات تمويل عقود الايجار,114,114 الفقضدةا الايجار عقود التزامات ف انخفاض / زبادة,"438,2471,1617,65"
ocr,cash,8,72.5,1.0,النقد,1,"(YT) 01, VAY‏ التمودلية الانشطة من الناتج النقد","432,2591,1573,70"
ocr,cash,8,66.86,1.0,النقد,10,"\,V\- ()1,0A¥)‏ السنة خلال النقدي التدفق صافي","450,2652,1553,75"
ocr,cash,8,75.17,1.0,النقد,14,14 نل المدة اول النقد رصيد,"431,2731,1500,54"
ocr,cash,8,57.6,1.0,النقد,1911,1911 اروم المدة اخر رصينرالنقد,"431,2792,1498,59"
reviewed_profile,cash,4,75.17,1,SHA-256 locked reviewed evidence,139867,"صافي النقود 139,867",
reviewed_profile,current_liabilities,5,66.6,1,SHA-256 locked reviewed evidence,994975,"مجموع الالتزامات المتداولة 994,975",
reviewed_profile,current_assets,4,84.25,1,SHA-256 locked reviewed evidence,995446,"مجموع الأصول المتداولة 995,446",
reviewed_profile,cfo,8,,1,SHA-256 locked reviewed evidence,-186909,"صافي النقد الناتج من الانشطة التشغيلية (186,909)",
reviewed_profile,capex,8,73.86,1,SHA-256 locked reviewed evidence,223993,"زيادة في الموجودات الثابتة خلال السنة (223,993)",
reviewed_profile,ebitda,6,,1,SHA-256 locked reviewed evidence,299181,"107,216 + 46,960 + 145,005 = 299,181",
reviewed_profile,interest_bearing_debt,5,72.67,1,SHA-256 locked reviewed evidence,1157095,"96,748 + 740,520 + 224,639 + 95,188",
reviewed_profile,interest_expense,6,51.25,1,SHA-256 locked reviewed evidence,46960,"فوائد مدينة (46,960)",
reviewed_profile,ar,4,50.17,1,SHA-256 locked reviewed evidence,558304,"615,408 - 57,104 = 558,304",
reviewed_profile,revenue,6,54.83,1,SHA-256 locked reviewed evidence,870817,"إيراد النشاط الجاري 870,817",
reviewed_profile,ap,5,39.14,1,SHA-256 locked reviewed evidence,770336,"الذمم الدائنة 770,336",
reviewed_profile,cogs,6,59.88,1,SHA-256 locked reviewed evidence,170055,"COGS (170,055)",
reviewed_profile,available_cash,4,,1,SHA-256 locked reviewed evidence,139867,"صافي النقود 139,867",
